gene_symbol,fdr_bh_adj_p_primary,mean_transloc_primary,n_sg_primary,fdr_bh_adj_p_secondary_reporter,mean_transloc_secondary_reporter,n_sg_secondary_reporter,fdr_bh_adj_p_secondary_antibody,mean_transloc_secondary_antibody,n_sg_secondary_antibody
ADD2,0.4204693285944991,-0.024167681843709796,4.0,,,,,,
ADD3,0.6733873452185996,-0.012606279436654757,4.0,,,,,,
ADGB,0.32695469575934155,-0.00038088268036057596,4.0,,,,,,
ADGRA1,0.3444617928736536,0.01360573268871457,4.0,,,,,,
ADGRA2,0.6031872189801971,0.011319309908167688,4.0,,,,,,
ADGRA3,0.4004386710397435,-0.016271232194880726,4.0,,,,,,
ADGRB1,0.9185080915927107,-0.007473874897651438,3.0,,,,,,
ADGRB2,0.6458351821245081,-0.00923756808737311,4.0,,,,,,
ADGRB3,0.1682684156581673,-0.027532572409309,4.0,,,,,,
ADGRD1,0.8054701962891049,-0.0037639121957657993,4.0,,,,,,
ADGRD2,0.7618514799600195,0.012625395288760647,4.0,,,,,,
ADGRE1,0.4531543353963108,0.019873809367746215,4.0,,,,,,
ADGRE2,0.6773843244260662,0.01087711756273736,4.0,,,,,,
ADGRE3,0.13013146830060543,0.010810186206896489,4.0,,,,,,
ADGRE5,0.4557656858884287,0.026193289941543105,4.0,,,,,,
ADGRF1,0.4616007895665048,0.001073491534409111,4.0,,,,,,
ADGRF2,0.9140361456954714,0.010238051950236828,4.0,,,,,,
ADGRF3,0.6734891056097675,0.00393578334669987,4.0,,,,,,
ADGRF4,0.46540039165080066,-0.03222860817490452,4.0,,,,,,
ADGRF5,0.583084737454389,-0.017274457175034768,3.0,,,,,,
ADGRG1,0.3589137967921823,-0.017547890357062404,4.0,,,,,,
ADGRG2,0.5717826760353775,-0.0221079305204746,4.0,,,,,,
ADGRG3,0.13302037220352536,-0.044045730864148105,4.0,,,,,,
ADGRG4,0.9266319954908674,-0.003502358616463452,4.0,,,,,,
ADGRG5,0.997837250288432,-0.002916294532694017,4.0,,,,,,
ADGRG6,0.643227088238053,-0.012111206309255626,4.0,,,,,,
ADGRG7,0.19171255688281114,-0.020145839979943528,4.0,,,,,,
ADGRL1,0.6096303060531448,0.016328262075473877,4.0,,,,,,
ADGRL2,0.30382999683759165,-0.030048770973274415,4.0,,,,,,
ADGRL3,0.2502086951779836,0.02746564157178482,4.0,,,,,,
ADGRL4,0.9514662448968635,-0.009170934134291556,4.0,,,,,,
ADGRV1,0.33974061990441673,-0.03094371899233552,4.0,,,,,,
ADH1A,0.5364475793460777,0.0015258941652562374,4.0,,,,,,
ADH1B,0.8165286614642437,0.00833982928395183,4.0,,,,,,
ADH1C,0.7587813428035236,0.015090637568397625,4.0,,,,,,
ADH4,0.8534646766977456,-0.003006024065328674,4.0,,,,,,
ADH5,0.35966818828010805,0.029504972762723704,4.0,,,,,,
ADH6,0.3571132136691378,-0.0026171469912832966,4.0,,,,,,
ADH7,0.6645757519245,-0.009820039678975608,4.0,,,,,,
ADHFE1,0.4169836884678574,-0.004873116502306169,4.0,,,,,,
ADI1,0.17785741734127203,-0.07897480281224156,2.0,,,,,,
ADIG,0.8569845494419456,-0.0004359364029526303,4.0,,,,,,
ADIPOQ,0.5201408251517411,-0.0056592050941307,4.0,,,,,,
ADIPOR1,0.5973792706183123,-0.011587779951752142,3.0,,,,,,
ADIPOR2,0.1682684156581673,-0.04374998559197485,4.0,,,,,,
ADIRF,0.5241915979133568,-0.025172755346844718,4.0,,,,,,
ADK,0.6054824740985555,0.00043027753616330794,4.0,,,,,,
ADM,0.805938511043785,-0.008665668550395302,4.0,,,,,,
ADM2,0.17672756474801304,-0.0009267212086119282,4.0,,,,,,
ADM5,0.7884046889998191,-0.012170297980592737,3.0,,,,,,
